,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,stim4,loc4,objmod4,action1,action2
0,0,0,4,0,0,0,1,0,5,6,1,2,True,False
1,0,0,4,1,0,1,2,0,6,5,1,1,False,True
2,0,0,4,2,0,2,3,0,7,6,1,6,True,False
3,0,0,0,3,0,7,6,1,6,7,1,3,True,False
4,0,0,4,4,1,4,2,0,2,0,0,4,False,True
5,0,0,0,5,1,1,5,1,5,1,0,1,True,True
6,0,0,4,6,1,2,3,0,7,6,1,2,True,False
7,0,0,4,7,1,7,7,1,7,1,0,1,True,True
8,1,0,1,0,0,0,6,1,6,6,1,2,False,False
9,1,0,5,1,0,5,5,1,5,6,1,6,True,False
10,1,0,1,2,0,6,5,1,1,0,0,4,False,True
11,1,0,5,3,0,7,4,1,4,3,0,7,False,False
12,1,0,1,4,1,0,0,0,0,0,0,4,True,True
13,1,0,5,5,1,5,2,0,2,3,0,3,False,False
14,1,0,1,6,1,2,4,1,4,7,1,3,False,False
15,1,0,5,7,1,7,0,0,4,7,1,7,False,False
16,2,0,2,0,0,0,5,1,5,4,1,0,True,False
17,2,0,2,1,0,5,3,0,3,3,0,3,False,True
18,2,0,2,2,0,6,3,0,7,1,0,1,True,False
19,2,0,6,3,0,7,5,1,1,6,1,6,False,True
20,2,0,2,4,1,0,3,0,3,7,1,3,False,True
21,2,0,6,5,1,1,6,1,6,1,0,1,False,False
22,2,0,6,6,1,6,4,1,0,3,0,7,False,True
23,2,0,2,7,1,7,2,0,2,4,1,4,True,False
24,3,0,7,0,0,0,3,0,7,2,0,2,False,True
25,3,0,7,1,0,5,7,1,3,2,0,6,False,True
26,3,0,3,2,0,2,1,0,1,7,1,7,False,True
27,3,0,7,3,0,3,3,0,3,5,1,1,True,False
28,3,0,7,4,1,0,5,1,5,0,0,4,True,False
29,3,0,3,5,1,5,3,0,3,2,0,2,False,True
30,3,0,3,6,1,2,5,1,1,0,0,4,False,False
31,3,0,3,7,1,7,2,0,6,2,0,2,True,True
32,4,1,0,0,0,0,3,0,7,5,1,1,False,True
33,4,1,4,1,0,5,2,0,2,7,1,7,False,False
34,4,1,4,2,0,2,4,1,0,2,0,6,False,False
35,4,1,0,3,0,3,7,1,3,6,1,2,True,False
36,4,1,0,4,1,0,2,0,6,7,1,7,False,False
37,4,1,4,5,1,1,6,1,2,1,0,1,False,True
38,4,1,0,6,1,2,0,0,0,2,0,6,False,False
39,4,1,0,7,1,7,3,0,7,7,1,3,True,False
40,5,1,1,0,0,4,1,0,1,5,1,1,True,True
41,5,1,5,1,0,5,0,0,0,5,1,5,True,True
42,5,1,5,2,0,2,3,0,7,4,1,4,True,True
43,5,1,1,3,0,3,3,0,7,3,0,3,True,False
44,5,1,5,4,1,4,0,0,4,6,1,6,True,False
45,5,1,1,5,1,1,7,1,3,7,1,7,False,False
46,5,1,1,6,1,2,3,0,7,2,0,6,True,False
47,5,1,5,7,1,7,0,0,4,3,0,3,False,False
48,6,1,2,0,0,0,3,0,3,7,1,3,False,True
49,6,1,2,1,0,5,4,1,4,6,1,6,True,True
50,6,1,2,2,0,2,7,1,3,6,1,2,True,True
51,6,1,6,3,0,7,3,0,3,6,1,6,True,True
52,6,1,6,4,1,4,5,1,1,1,0,1,True,False
53,6,1,2,5,1,5,2,0,6,1,0,1,False,False
54,6,1,6,6,1,6,7,1,7,2,0,2,True,True
55,6,1,6,7,1,3,1,0,1,0,0,0,False,False
56,7,1,3,0,0,0,6,1,6,2,0,6,False,True
57,7,1,3,1,0,1,5,1,5,4,1,4,True,False
58,7,1,3,2,0,6,1,0,5,7,1,7,False,True
59,7,1,7,3,0,3,3,0,7,4,1,4,True,False
60,7,1,7,4,1,0,7,1,3,3,0,7,False,True
61,7,1,3,5,1,5,2,0,6,4,1,4,False,False
62,7,1,7,6,1,6,4,1,0,1,0,1,False,False
63,7,1,3,7,1,7,1,0,5,1,0,1,False,False
