,stim1,loc1,objmod1,stim2,loc2,objmod2,stim3,loc3,objmod3,preaction,action
40,5,1,5,0,0,0,0,0,0,False,True
62,7,1,7,6,1,6,7,1,7,True,True
24,3,0,7,0,0,0,6,1,6,True,False
60,7,1,7,4,1,4,5,1,1,True,True
44,5,1,5,4,1,0,5,1,5,True,True
48,6,1,2,0,0,0,5,1,5,False,True
6,0,0,0,6,1,2,6,1,6,False,True
34,4,1,0,2,0,6,4,1,0,False,False
0,0,0,4,0,0,0,3,0,7,True,False
31,3,0,7,7,1,3,5,1,5,False,False
32,4,1,4,0,0,4,1,0,1,False,True
43,5,1,1,3,0,3,7,1,3,False,True
22,2,0,2,6,1,2,6,1,6,False,True
2,0,0,0,2,0,6,7,1,3,True,True
37,4,1,4,5,1,1,3,0,7,True,False
18,2,0,2,2,0,6,7,1,7,True,True
47,5,1,5,7,1,7,6,1,2,True,True
16,2,0,6,0,0,4,3,0,7,True,False
36,4,1,4,4,1,4,6,1,2,True,False
11,1,0,5,3,0,3,6,1,2,True,True
33,4,1,0,1,0,1,5,1,5,False,True
29,3,0,7,5,1,1,0,0,0,False,True
20,2,0,6,4,1,4,1,0,5,False,True
3,0,0,0,3,0,7,1,0,5,True,False
49,6,1,6,1,0,1,3,0,3,False,False
9,1,0,5,1,0,5,2,0,6,True,False
63,7,1,3,7,1,7,3,0,3,True,True
38,4,1,0,6,1,6,6,1,2,True,True
51,6,1,2,3,0,3,6,1,6,False,True
57,7,1,7,1,0,1,4,1,0,False,True
39,4,1,4,7,1,3,3,0,7,True,True
1,0,0,4,1,0,1,2,0,2,True,False
58,7,1,7,2,0,2,6,1,2,False,True
10,1,0,5,2,0,2,7,1,7,True,True
61,7,1,3,5,1,1,2,0,2,True,False
25,3,0,7,1,0,1,7,1,7,True,False
55,6,1,2,7,1,3,5,1,5,True,False
12,1,0,1,4,1,0,4,1,0,False,True
54,6,1,6,6,1,6,3,0,7,True,True
52,6,1,6,4,1,0,4,1,0,True,True
59,7,1,3,3,0,7,2,0,2,False,True
50,6,1,6,2,0,6,0,0,0,False,False
19,2,0,2,3,0,3,4,1,0,True,False
26,3,0,7,2,0,6,0,0,0,True,False
56,7,1,7,0,0,0,0,0,4,False,True
30,3,0,3,6,1,6,7,1,3,False,True
15,1,0,5,7,1,3,3,0,3,False,True
5,0,0,4,5,1,1,7,1,3,False,False
27,3,0,7,3,0,7,0,0,0,True,False
42,5,1,5,2,0,6,5,1,1,False,False
35,4,1,4,3,0,7,5,1,5,False,False
45,5,1,1,5,1,1,3,0,7,True,False
17,2,0,2,1,0,1,0,0,0,True,True
13,1,0,1,5,1,1,4,1,4,False,True
23,2,0,2,7,1,3,2,0,2,False,True
14,1,0,5,6,1,2,0,0,4,False,False
7,0,0,4,7,1,3,4,1,4,False,False
28,3,0,3,4,1,4,1,0,1,False,True
53,6,1,2,5,1,1,6,1,2,True,False
41,5,1,5,1,0,1,2,0,6,False,False
