Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
210,4,0,0,1,2,0,2,4,5,0,0,1,2,1,2,5,15,1,1,1,3,1,7,7,False
148,4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,10,1,1,0,1,0,5,2,False
309,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,True
258,0,0,0,0,0,0,0,0,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
132,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
317,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
234,11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
312,15,1,1,1,3,1,7,7,0,0,0,0,0,0,0,0,5,0,0,1,2,1,2,5,False
232,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,4,0,0,1,2,0,2,4,False
124,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
101,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
109,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,3,0,0,0,1,1,1,3,True
254,15,1,1,1,3,1,7,7,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,True
158,7,0,0,1,3,1,3,7,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
280,7,0,0,1,3,1,3,7,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
31,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,True
262,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
195,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,4,0,0,1,2,0,2,4,False
146,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,True
218,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,True
