Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
85,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,4,0,0,1,2,0,2,4,False
242,12,1,1,1,2,0,6,4,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,True
159,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
12,3,0,0,0,1,1,1,3,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
35,8,1,1,0,0,0,4,0,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
28,7,0,0,1,3,1,3,7,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,True
170,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
142,2,0,0,0,1,0,1,2,13,1,1,1,2,1,6,5,6,0,0,1,3,0,3,6,False
266,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,13,1,1,1,2,1,6,5,True
131,0,0,0,0,0,0,0,0,6,0,0,1,3,0,3,6,9,1,1,0,0,1,4,1,False
209,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,False
51,13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
95,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,2,0,0,0,1,0,1,2,False
238,10,1,1,0,1,0,5,2,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,False
178,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,False
250,14,1,1,1,3,0,7,6,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
41,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,False
89,6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,False
246,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,13,1,1,1,2,1,6,5,True
136,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,False
